Campaign Number,Name,Start Date,End Date,Channel,Client,Street,City,State,State,Country,Zip,Email,Phone,Contact,Gender,Age,Location,Views,Likes,Clicks,Conversions,CR,Expense,Executive
479,Campaign 479,2023-05-22,2023-05-31,YouTube,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,Male,18-40,Canada,98449,4709,4091,539,0.00547,22987.9,Aaron Faulkner
480,Campaign 480,2023-12-10,2024-01-02,Instagram,Weaver|Hoover,050 Andrews Green,North Renee,VT,Vermont,USA,22014,jacqueline32@dominguez.biz,+5741894981166,Kathy Mahoney,,40-60,Japan,3091,6185,2400,168,0.05435,48184.77,Brandon Townsend Jr.
481,Campaign 481,2023-05-25,2023-05-27,TikTok,Phillips|Lewis,152 Munoz Spur,Richardbury,NE,Nebraska,USA,64820,ssullivan@yahoo.com,+163276214014577,April Williams,,13-19,Canada,29533,4523,4816,55,0.00186,25895.84,Aaron Faulkner
482,Campaign 482,2023-09-02,2023-09-21,TikTok,Gray Ltd,Unit 4555 Box 7398,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,owenmelinda@yahoo.com,+1728597837,Mark Long,Female,40-60,Australia,45593,3214,4125,411,0.00901,19649.27,Jesus Rivera
483,Campaign 483,2023-12-18,2024-01-17,YouTube,James|Phelps|Burgess,026 Good Ports Apt. 881,Port Adam,KY,Kentucky,USA,82799,edurham@hotmail.com,+8329634717985,Vanessa Miranda,Female,60+,LATAM,27573,5847,100,235,0.00852,4424.17,Lauren Riggs
484,Campaign 484,2023-06-17,2023-06-19,Email,Salinas|Chavez,53637 Bonnie Walk Suite 961,South Adrianaport,IA,Iowa,USA,49560,richard84@hotmail.com,+2545622603,Chelsea Hoffman,,18-40,LATAM,31939,6216,1248,930,0.02912,45788.59,Thomas Ryan
485,Campaign 485,2023-12-11,2023-12-26,YouTube,Schneider PLC,872 Davila Ville Apt. 985,Millerland,GA,Georgia,USA,42888,beasleycraig@yahoo.com,+1430693791,Stephen Murphy,Male,18-40,India,11890,1473,2731,961,0.08082,34988.95,Lauren Riggs
486,Campaign 486,2023-06-23,2023-07-10,Instagram,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,Male,18-40,Canada,87589,246,162,913,0.01042,47925.74,Aaron Faulkner
487,Campaign 487,2023-10-27,2023-10-31,TikTok,Williams PLC,911 Thomas Manors,Longchester,ID,Idaho,USA,62649,sanchezangela@butler.com,+88158970981186,Reginald Lee,Male,18-40,Canada,69587,2809,3741,841,0.01209,39179.98,Michael Camacho
488,Campaign 488,2023-10-06,2023-10-30,Email,Cohen|Williams|Hess,93243 Lee Loop Apt. 832,North Jonathanland,MP,Northern Mariana Islands,USA,43605,shawn39@gmail.com,+314858550923447,Mr. Nicholas Ramirez,,60+,USA,65513,9485,4034,709,0.01082,48453.46,Jesus Rivera
489,Campaign 489,2023-06-30,2023-07-21,YouTube,Brown|Lawrence|Collins,069 Jeffrey Neck,North Jeffreyberg,VI,Virgin Islands,USA,70669,tracyfields@evans.com,+135132085844902,Thomas Fleming,Female,40-60,India,16473,1135,2697,653,0.03964,7211.94,Michael Camacho
490,Campaign 490,2023-04-27,2023-04-29,YouTube,Benjamin|Sons,861 Knox Cape Apt. 731,Lake John,CA,California,USA,62474,lrice@yahoo.com,+9707822987046,Derek Juarez,Female,40-60,Australia,13030,9949,2192,123,0.00944,19759.83,Thomas Ryan
491,Campaign 491,2023-12-27,2024-01-25,TikTok,Mcclain|Beltran|Patterson,2179 Obrien Fort,New Christopher,FL,Florida,USA,06005,jeffrey07@rice.com,+698872596657978,Bryan Moore,,18-40,India,82951,432,3604,462,0.00557,38453.07,Brandon Townsend Jr.
492,Campaign 492,2023-05-22,2023-05-29,TikTok,Daniels Group,567 Jill Motorway,Sarabury,GU,Guam,USA,20455,michael10@gmail.com,+6445688783,Annette Rice,Male,40-60,India,18825,2232,1071,470,0.02497,11488.98,Wesley Simon
493,Campaign 493,2023-03-20,2023-04-18,Instagram,James|Phelps|Burgess,026 Good Ports Apt. 881,Port Adam,KY,Kentucky,USA,82799,edurham@hotmail.com,+8329634717985,Vanessa Miranda,Male,60+,USA,25328,9309,223,899,0.03549,31204.31,Lauren Riggs
494,Campaign 494,2023-12-18,2024-01-14,YouTube,Benjamin|Sons,861 Knox Cape Apt. 731,Lake John,CA,California,USA,62474,lrice@yahoo.com,+9707822987046,Derek Juarez,,13-19,USA,33195,3478,626,242,0.00729,49669.98,Thomas Ryan
495,Campaign 495,2023-12-01,2023-12-11,YouTube,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,,18-40,USA,27553,2995,4162,167,0.00606,7770.28,Thomas Ryan
496,Campaign 496,2023-08-28,2023-08-29,Email,Holmes|Johnson|Rodriguez,USCGC Erickson,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,polsen@alexander-smith.net,+1479099839029817,Anne Foley,,18-40,Australia,25825,3705,2671,664,0.02571,34975.09,Wesley Simon
497,Campaign 497,2023-04-03,2023-05-01,Email,Walter Ltd,591 Gallegos Shore,East Jennifer,VT,Vermont,USA,67675,gravessusan@gonzalez.com,+4034303913,Sarah Warren,,60+,USA,75445,3803,4450,994,0.01318,2592.59,Aaron Faulkner
498,Campaign 498,2023-03-13,2023-04-04,TikTok,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,,40-60,Europe,36828,5200,1830,363,0.00986,34219.4,Thomas Ryan
499,Campaign 499,2023-05-08,2023-05-13,Email,Valentine|Dunn,723 Julia Burg,Bartonhaven,VT,Vermont,USA,86914,gharrington@yahoo.com,+5835472748,Nathan May,Male,60+,India,27050,1773,4978,665,0.02458,44276.09,Melissa Haynes
500,Campaign 500,2023-03-25,2023-04-22,TikTok,Green|Lloyd|Ball,30284 Villarreal Passage Apt. 698,Brownshire,NV,Nevada,USA,89609,wrightlucas@yahoo.com,+56229307994586,Shelly Stafford,,13-19,Canada,28525,8245,3024,942,0.03302,16985.61,Jesus Rivera
501,Campaign 501,2023-11-14,2023-11-18,Facebook,Noble|Mcneil|Cooper,36911 Gay Streets Suite 795,Brentmouth,LA,Louisiana,USA,62951,sarahparks@yahoo.com,+35660863350070,Mark Garcia,Female,40-60,USA,45801,5956,750,260,0.00568,4259.12,Wesley Simon
502,Campaign 502,2023-01-27,2023-02-07,Instagram,Lyons PLC,20804 Burgess Trace,Petersenburgh,WV,West Virginia,USA,31082,nicholastaylor@yahoo.com,+4964036865,Sharon Crawford,Female,40-60,Europe,91082,4847,105,262,0.00288,17928.5,Lauren Riggs
503,Campaign 503,2023-01-13,2023-02-02,TikTok,Bradley|Jackson|Miller,190 Bradley Mill Suite 940,Craigbury,MO,Missouri,USA,18832,hansonpatrick@hunt.com,+3551561435486,Dr. David Glass Jr.,Male,60+,Australia,1025,604,1468,354,0.34537,29787.51,Melissa Haynes
504,Campaign 504,2023-01-25,2023-02-13,TikTok,Hernandez Inc,9452 Amber Mills,Lopezville,NV,Nevada,USA,94038,uhansen@livingston.com,+151947089311832,Traci Holden,Female,40-60,LATAM,81191,5184,1478,548,0.00675,22718.62,Melissa Haynes
505,Campaign 505,2023-07-05,2023-08-03,Instagram,Schneider PLC,872 Davila Ville Apt. 985,Millerland,GA,Georgia,USA,42888,beasleycraig@yahoo.com,+1430693791,Stephen Murphy,,18-40,UK,77496,509,3957,252,0.00325,10008.32,Lauren Riggs
506,Campaign 506,2023-03-14,2023-04-07,Facebook,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Male,60+,LATAM,35326,7840,3323,447,0.01265,34654.96,Brandon Townsend Jr.
507,Campaign 507,2023-04-17,2023-05-01,TikTok,Jones|Miranda|Martin,45011 Marc Roads Apt. 548,Johnsonbury,NJ,New Jersey,USA,40892,kristenhoward@yahoo.com,+5580039387927,Christine Barnes,,60+,Japan,40991,7887,2576,196,0.00478,6905.82,Thomas Ryan
508,Campaign 508,2023-02-07,2023-03-09,Email,Arnold|Smith|Ward,Unit 2316 Box 4709,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,michelle93@pineda-small.com,+6404886159251,Karen Bryan,Male,60+,USA,73480,2539,1229,394,0.00536,23611.62,Jesus Rivera
509,Campaign 509,2023-04-27,2023-05-17,Email,Griffin LLC,4454 Tanya Bridge Apt. 797,East Johnmouth,AR,Arkansas,USA,45759,carlos94@ware.org,+4982096317,Karen Mitchell,Female,18-40,Canada,87797,2203,673,150,0.00171,45722.87,Brandon Townsend Jr.
510,Campaign 510,2023-02-27,2023-03-25,TikTok,Fisher|Johnston,36491 Jennifer Park Suite 248,East David,PA,Pennsylvania,USA,71082,rellis@lindsey.com,+58028199762452,Timothy Hernandez,,18-40,UK,21115,3073,3909,940,0.04452,15351.2,Jesus Rivera
511,Campaign 511,2023-05-31,2023-06-08,Facebook,Holmes|Johnson|Rodriguez,USCGC Erickson,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,polsen@alexander-smith.net,+1479099839029817,Anne Foley,,60+,UK,86512,5480,3885,641,0.00741,35513.81,Wesley Simon
512,Campaign 512,2023-02-06,2023-02-15,YouTube,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Male,18-40,UK,51129,4112,868,492,0.00962,37925.11,Brandon Townsend Jr.
513,Campaign 513,2023-04-01,2023-04-29,Instagram,Drake|Vasquez,8980 Cox Park,South Robert,NV,Nevada,USA,66099,tylersheila@hicks.com,+1238005701,Teresa Doyle,Female,18-40,LATAM,5158,8481,797,117,0.02268,18699.48,Michael Camacho
514,Campaign 514,2023-02-19,2023-02-20,Email,Griffin Inc,Unit 3822 Box 8338,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,dixonamber@hotmail.com,+880002060856308,Theodore Murphy,Female,18-40,Europe,23084,4180,4345,229,0.00992,38984.91,Brandon Townsend Jr.
515,Campaign 515,2023-02-07,2023-02-11,YouTube,Arnold|Smith|Ward,Unit 2316 Box 4709,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,michelle93@pineda-small.com,+6404886159251,Karen Bryan,,13-19,USA,40088,3475,1577,78,0.00195,10448.16,Jesus Rivera
516,Campaign 516,2023-10-30,2023-11-19,YouTube,James|Phelps|Burgess,026 Good Ports Apt. 881,Port Adam,KY,Kentucky,USA,82799,edurham@hotmail.com,+8329634717985,Vanessa Miranda,Male,40-60,Europe,47451,4528,1025,922,0.01943,28584.68,Lauren Riggs
517,Campaign 517,2023-11-27,2023-12-13,YouTube,Griffin LLC,4454 Tanya Bridge Apt. 797,East Johnmouth,AR,Arkansas,USA,45759,carlos94@ware.org,+4982096317,Karen Mitchell,Female,40-60,USA,98070,4008,4672,160,0.00163,6708.46,Brandon Townsend Jr.
518,Campaign 518,2023-04-14,2023-04-26,YouTube,Harmon Inc,3532 Carla Spurs Suite 631,East Susanside,VA,Virginia,USA,63110,steven77@miller.com,+1293472414472086,Heidi Black,,13-19,UK,17621,5194,1547,322,0.01827,23214.58,Kyle Serrano
519,Campaign 519,2023-05-29,2023-06-25,TikTok,Miller|Bryant|Burnett,1044 Kennedy Prairie Apt. 186,Jamiemouth,NE,Nebraska,USA,12690,bjohnson@martin-williams.com,+9588403830,Christopher Clark,Male,60+,Canada,22146,466,796,565,0.02551,24724.64,Aaron Faulkner
520,Campaign 520,2023-05-21,2023-06-19,TikTok,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Female,40-60,India,32285,3446,464,141,0.00437,16098.17,Kyle Serrano
521,Campaign 521,2023-06-30,2023-07-09,TikTok,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,Female,18-40,Canada,93631,6624,4879,575,0.00614,8447.78,Thomas Ryan
522,Campaign 522,2023-07-01,2023-07-13,Instagram,Salinas|Chavez,53637 Bonnie Walk Suite 961,South Adrianaport,IA,Iowa,USA,49560,richard84@hotmail.com,+2545622603,Chelsea Hoffman,Male,40-60,LATAM,98967,9994,1398,405,0.00409,28786.24,Thomas Ryan
523,Campaign 523,2023-09-15,2023-09-23,Email,Lewis|Martinez,37059 Bates Prairie Suite 432,Port Robertmouth,MN,Minnesota,USA,28374,joshua06@king.com,+36383636475385,Angela Anderson,,18-40,Japan,26488,4215,3710,963,0.03636,20125.89,Aaron Faulkner
524,Campaign 524,2023-10-20,2023-11-01,Email,Jimenez|Sons,8451 Walter Fords Apt. 737,South Danielchester,CT,Connecticut,USA,12719,amartinez@oconnell.com,+4051640984570,Justin Cole,Female,40-60,Japan,83320,6709,3000,111,0.00133,2636.02,Jesus Rivera
525,Campaign 525,2023-01-02,2023-01-07,Facebook,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,Male,40-60,LATAM,17434,8058,4913,903,0.05180,33197.16,Thomas Ryan
526,Campaign 526,2023-03-30,2023-04-23,YouTube,Vaughan Group,PSC 0937,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,baldwinhailey@klein-fitzgerald.com,+1349058667435806,Ashley Carter,,13-19,Australia,30372,9774,4169,283,0.00932,22544.06,Jesus Rivera
527,Campaign 527,2023-12-26,2024-01-02,TikTok,Hunt|Woods|Saunders,48531 Garcia Walk,Gonzalesville,WY,Wyoming,USA,31844,rramsey@warren.com,+1628025355066010,April Brewer,Female,60+,USA,53283,6082,3783,960,0.01802,24511.44,Melissa Haynes
528,Campaign 528,2023-09-01,2023-09-02,Facebook,Nunez|Bowers,6821 Walker Via Suite 228,Lake Jessica,NE,Nebraska,USA,05036,michelle44@yahoo.com,+1864384897,James Woods,Female,40-60,LATAM,70975,3098,2857,289,0.00407,29042.22,Wesley Simon
529,Campaign 529,2023-12-27,2024-01-23,Facebook,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Male,18-40,USA,24082,4912,650,518,0.02151,40666.82,Kyle Serrano
530,Campaign 530,2023-07-29,2023-08-27,Instagram,Fox|Carter|Cunningham,99919 Michelle Green Apt. 424,West Hannah,KY,Kentucky,USA,63482,bradymcclain@hotmail.com,+1172175730,Andre Manning,Female,60+,Australia,58154,7801,3685,834,0.01434,45403.99,Brandon Townsend Jr.
531,Campaign 531,2023-09-23,2023-10-02,YouTube,Wall|Cruz,7470 Harris Roads Suite 137,Brookefort,MP,Northern Mariana Islands,USA,32507,davidponce@turner-copeland.com,+53982372697824,Robert Cruz,Male,60+,Japan,57788,1904,4492,264,0.00457,36423.99,Becky Brown
532,Campaign 532,2023-01-15,2023-01-25,Facebook,Green|Lloyd|Ball,30284 Villarreal Passage Apt. 698,Brownshire,NV,Nevada,USA,89609,wrightlucas@yahoo.com,+56229307994586,Shelly Stafford,,40-60,Europe,35782,7277,1257,48,0.00134,12829.76,Jesus Rivera
533,Campaign 533,2023-04-25,2023-05-20,Email,Roberts|Howe,64572 Dawn Forges Suite 455,South Samantha,PA,Pennsylvania,USA,33248,mckenziebrandon@allen.biz,+6985917266697,Robert Mcintosh,,18-40,Canada,68780,4304,947,385,0.00560,1383.25,Brandon Townsend Jr.
534,Campaign 534,2023-06-21,2023-06-22,TikTok,Weaver|Garner|Ramos,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,Kentucky,USA,52632,oscott@gmail.com,+4989787718501,Melinda Johnston,,40-60,Australia,8588,3026,2834,494,0.05752,42958.17,Brandon Townsend Jr.
535,Campaign 535,2023-03-26,2023-03-30,Instagram,Parker|Velasquez|Dixon,33302 Fuller Lakes,West Christopher,MH,Marshall Islands,USA,17095,hutchinsonmary@gmail.com,+4704867194830,Brian George,Female,40-60,Canada,2032,8324,3692,494,0.24311,17958.56,Aaron Faulkner
536,Campaign 536,2023-05-22,2023-06-09,Email,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,,13-19,Japan,40314,2283,1137,97,0.00241,7948.59,Wesley Simon
537,Campaign 537,2023-11-22,2023-12-14,Instagram,Williams PLC,911 Thomas Manors,Longchester,ID,Idaho,USA,62649,sanchezangela@butler.com,+88158970981186,Reginald Lee,Female,60+,Canada,47633,2473,3114,969,0.02034,28810.28,Michael Camacho
538,Campaign 538,2023-08-21,2023-09-08,Instagram,James|Phelps|Burgess,026 Good Ports Apt. 881,Port Adam,KY,Kentucky,USA,82799,edurham@hotmail.com,+8329634717985,Vanessa Miranda,Female,40-60,LATAM,80744,9567,3831,300,0.00372,21503.77,Lauren Riggs
539,Campaign 539,2023-07-24,2023-07-26,YouTube,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,Female,40-60,LATAM,31148,9685,4695,443,0.01422,11770.88,Wesley Simon
540,Campaign 540,2023-10-26,2023-10-27,YouTube,Griffin Inc,Unit 3822 Box 8338,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,dixonamber@hotmail.com,+880002060856308,Theodore Murphy,,18-40,Europe,54126,3241,3876,417,0.00770,12363.43,Brandon Townsend Jr.
541,Campaign 541,2023-12-31,2024-01-16,Facebook,Bush|Mendez|Smith,791 Darryl Squares Suite 934,Holdenport,OH,Ohio,USA,41129,churchtimothy@yahoo.com,+3253375294169,Patrick Williams,,60+,Canada,3141,2066,4858,707,0.22509,33079.51,Brandon Townsend Jr.
542,Campaign 542,2023-04-12,2023-05-06,Email,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,Female,18-40,Canada,71363,4901,2954,229,0.00321,42744.36,Thomas Ryan
543,Campaign 543,2023-04-08,2023-04-12,Instagram,Cooper|Alexander,01438 Kristin Fords Apt. 626,Port Paula,WA,Washington,USA,20979,gchavez@yang.com,+2844015003,Alexandria Hansen,Male,18-40,Europe,77069,4269,3216,647,0.00840,22090.59,Thomas Ryan
544,Campaign 544,2023-04-21,2023-05-20,TikTok,Green|Blake,230 Brandon Bypass Apt. 679,New Melissa,TN,Tennessee,USA,37505,karenpayne@yahoo.com,+399882061459395,Dustin Ramirez,,40-60,Europe,58876,3430,2111,19,0.00032,39613.38,Jesus Rivera
545,Campaign 545,2023-12-09,2023-12-21,TikTok,Fisher Group,880 Watson Ramp Suite 059,Reynoldsfurt,GU,Guam,USA,10725,brian57@hotmail.com,+11851687120,Jeremy Baker,,18-40,UK,45538,4754,1731,825,0.01812,44619.17,Melissa Haynes
546,Campaign 546,2023-11-10,2023-11-16,Instagram,Smith|Bailey,055 Rebecca Ramp,Edwardsland,WY,Wyoming,USA,72139,bakerpaul@holland.com,+05449561427992,Sharon Reeves,Male,60+,Australia,89920,6865,1180,635,0.00706,17851.68,Michael Camacho
547,Campaign 547,2023-12-09,2024-01-08,Facebook,Reed|Johnson,01161 Mcintyre Burg,Robinsonport,CO,Colorado,USA,51964,stacy50@bates-martin.com,+15223213506854,John Terrell,Female,60+,Japan,19751,105,2064,390,0.01975,39438.63,Becky Brown
548,Campaign 548,2023-11-15,2023-11-21,Instagram,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,Male,60+,UK,8239,7428,1891,418,0.05073,11415.21,Thomas Ryan
549,Campaign 549,2023-06-05,2023-06-30,Facebook,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,Male,40-60,Australia,37914,3566,3760,192,0.00506,40046.15,Thomas Ryan
550,Campaign 550,2023-10-05,2023-10-06,TikTok,Mcbride|Finley,438 Brent Roads Apt. 855,Tylerburgh,NY,New York,USA,69473,mcclainhannah@jensen-gilbert.com,+8564145259269,Michael Freeman,,40-60,India,85675,1929,371,482,0.00563,2333.47,Jesus Rivera
551,Campaign 551,2023-04-10,2023-05-02,TikTok,Green|Lloyd|Ball,30284 Villarreal Passage Apt. 698,Brownshire,NV,Nevada,USA,89609,wrightlucas@yahoo.com,+56229307994586,Shelly Stafford,Female,18-40,UK,59750,5191,4322,179,0.00300,11171.37,Jesus Rivera
552,Campaign 552,2023-07-02,2023-07-04,YouTube,Schneider PLC,872 Davila Ville Apt. 985,Millerland,GA,Georgia,USA,42888,beasleycraig@yahoo.com,+1430693791,Stephen Murphy,Male,18-40,Japan,8281,2729,2207,590,0.07125,33766.67,Lauren Riggs
553,Campaign 553,2023-01-16,2023-02-02,Facebook,Jackson Inc,96299 Miller Spur,Jensenfurt,CA,California,USA,97794,jeremy09@yahoo.com,+5576707467238,Karen Rivers,Male,60+,Canada,92881,8244,1048,597,0.00643,30183.91,Thomas Ryan
554,Campaign 554,2023-03-25,2023-04-06,Facebook,Fox|Carter|Cunningham,99919 Michelle Green Apt. 424,West Hannah,KY,Kentucky,USA,63482,bradymcclain@hotmail.com,+1172175730,Andre Manning,Female,18-40,USA,25102,423,2306,115,0.00458,21717.1,Brandon Townsend Jr.
555,Campaign 555,2023-11-26,2023-11-29,Email,White Ltd,172 Angela Crescent Apt. 306,North Laura,HI,Hawaii,USA,69094,jeremy56@gmail.com,+3201853187395,Nathan Weber,,13-19,USA,28434,5705,2762,611,0.02149,38953.97,Jesus Rivera
556,Campaign 556,2023-09-02,2023-09-20,TikTok,Walter Ltd,591 Gallegos Shore,East Jennifer,VT,Vermont,USA,67675,gravessusan@gonzalez.com,+4034303913,Sarah Warren,Female,40-60,Japan,77248,7277,2513,645,0.00835,31711.24,Aaron Faulkner
557,Campaign 557,2023-12-07,2023-12-24,TikTok,Phillips|Lewis,152 Munoz Spur,Richardbury,NE,Nebraska,USA,64820,ssullivan@yahoo.com,+163276214014577,April Williams,Female,18-40,Europe,64760,6901,592,357,0.00551,2343.95,Aaron Faulkner
558,Campaign 558,2023-06-04,2023-07-01,Facebook,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,,40-60,Japan,30243,7311,3013,543,0.01795,12348.63,Wesley Simon
559,Campaign 559,2023-11-08,2023-11-11,YouTube,Fisher Group,880 Watson Ramp Suite 059,Reynoldsfurt,GU,Guam,USA,10725,brian57@hotmail.com,+11851687120,Jeremy Baker,Female,60+,UK,75884,1346,579,747,0.00984,16583.39,Melissa Haynes
560,Campaign 560,2023-09-29,2023-10-24,Email,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,,40-60,UK,61132,7347,583,771,0.01261,36681.7,Thomas Ryan
561,Campaign 561,2023-01-03,2023-01-06,Facebook,Nunez|Bowers,6821 Walker Via Suite 228,Lake Jessica,NE,Nebraska,USA,05036,michelle44@yahoo.com,+1864384897,James Woods,,60+,Australia,91198,1427,2362,70,0.00077,41732.19,Wesley Simon
562,Campaign 562,2023-01-03,2023-01-07,YouTube,Vaughan Group,PSC 0937,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,baldwinhailey@klein-fitzgerald.com,+1349058667435806,Ashley Carter,,40-60,LATAM,95668,4575,3630,641,0.00670,35713.13,Jesus Rivera
563,Campaign 563,2023-12-23,2024-01-08,Email,Fox|Carter|Cunningham,99919 Michelle Green Apt. 424,West Hannah,KY,Kentucky,USA,63482,bradymcclain@hotmail.com,+1172175730,Andre Manning,,40-60,USA,30742,3986,2245,266,0.00865,9993.61,Brandon Townsend Jr.
564,Campaign 564,2023-11-06,2023-12-06,Facebook,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,,40-60,Europe,1686,9974,1657,504,0.29893,24402.45,Aaron Faulkner
565,Campaign 565,2023-11-29,2023-12-12,TikTok,Hunt|Woods|Saunders,48531 Garcia Walk,Gonzalesville,WY,Wyoming,USA,31844,rramsey@warren.com,+1628025355066010,April Brewer,Male,40-60,Canada,99064,6800,2348,920,0.00929,33158.28,Melissa Haynes
566,Campaign 566,2023-05-04,2023-05-19,TikTok,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,,60+,Canada,67436,1912,4256,518,0.00768,34634.74,Thomas Ryan
567,Campaign 567,2023-05-26,2023-06-03,Facebook,Salinas|Rodriguez|Bowman,04604 Davidson Underpass Apt. 439,Lake Tiffany,DC,District of Columbia,USA,35416,gutierrezjames@yahoo.com,+155494860860863,Laura Caldwell,,18-40,Japan,81307,3086,4132,184,0.00226,43597.88,Thomas Ryan
568,Campaign 568,2023-10-01,2023-10-10,TikTok,Ross Group,2397 Allison Knolls Suite 213,Jacksonside,WV,West Virginia,USA,58803,kristopher99@romero.org,+184424524870945,Lauren Graham,,13-19,UK,46473,6249,1331,637,0.01371,8018.37,Brandon Townsend Jr.
569,Campaign 569,2023-04-19,2023-05-15,Email,Ross Group,2397 Allison Knolls Suite 213,Jacksonside,WV,West Virginia,USA,58803,kristopher99@romero.org,+184424524870945,Lauren Graham,,18-40,Europe,13392,1573,523,59,0.00441,845.52,Brandon Townsend Jr.
570,Campaign 570,2023-05-19,2023-05-24,Facebook,Phillips|Lewis,152 Munoz Spur,Richardbury,NE,Nebraska,USA,64820,ssullivan@yahoo.com,+163276214014577,April Williams,Male,40-60,Japan,72587,9206,4522,84,0.00116,44424.82,Aaron Faulkner
571,Campaign 571,2023-03-06,2023-03-27,Facebook,Mitchell|Rojas,Unit 7421 Box 5134,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,johnathan43@hotmail.com,+12115886353,Benjamin Anthony,Female,40-60,Australia,90979,7824,1463,300,0.00330,27451.58,Thomas Ryan
572,Campaign 572,2023-10-31,2023-11-15,Instagram,Ramirez|Wilson,6802 Scott Ways,Jasonbury,NM,New Mexico,USA,94299,robertellis@simpson-gutierrez.com,+41408698958325,Christine Nguyen,,40-60,LATAM,52251,5191,2016,707,0.01353,7191.6,Becky Brown
573,Campaign 573,2023-01-06,2023-02-02,Instagram,Cooper|Alexander,01438 Kristin Fords Apt. 626,Port Paula,WA,Washington,USA,20979,gchavez@yang.com,+2844015003,Alexandria Hansen,Male,18-40,Europe,10330,2556,3106,585,0.05663,4687.95,Thomas Ryan
